Title,Url,Protein,Rating (1-5),Notes
Roasted Butternut Squash Broccoli Cheddar Chicken Couscous,https://www.ambitiouskitchen.com/roasted-butternut-squash-broccoli-cheddar-chicken-couscous/,chicken,0,
Chicken & Spinach Skillet Pasta with Lemon & Parmesan,https://www.eatingwell.com/recipe/267768/chicken-spinach-skillet-pasta-with-lemon-parmesan/,chicken,0,
Creamy Dijon Rosemary Chicken,https://www.saltandlavender.com/creamy-dijon-rosemary-chicken/,chicken,0,
Sheet Pan Honey-Dijon Chicken and Vegetables,https://www.thekitchn.com/recipe-sheet-pan-honey-dijon-chicken-and-vegetables-258363,chicken,0,
One Pot Moroccan Chicken Stew with Sweet Potato & Couscous,https://www.ambitiouskitchen.com/one-pot-moroccan-chicken-stew-sweet-potato-couscous/,chicken,0,
Creamy Coconut Chicken Curry,https://www.theendlessmeal.com/creamy-coconut-chicken-curry/,chicken,0,
30-Minute Sesame Chicken Green Bean Stir Fry,https://www.ambitiouskitchen.com/chicken-green-bean-stir-fry/,chicken,0,
Chili Lime Sweet Potato and Chicken Skillet,https://sweetpeasandsaffron.com/chili-lime-chicken-and-sweet-potato-skillet/,chicken,0,
One Pan Cilantro Chicken Meatballs in Mango Coconut Sauce,https://www.ambitiouskitchen.com/cilantro-chicken-meatballs-mango-coconut-sauce/,chicken,0,
One Pan Tandoori Chicken with Spiced Coconut Rice,https://www.ambitiouskitchen.com/one-pan-tandoori-chicken-spiced-coconut-rice/,chicken,0,
Garlic Lemon Herb Mediterranean Chicken + Potatoes (One Pan),https://cafedelites.com/garlic-lemon-herb-mediterranean-chicken-potatoes/,chicken,0,
One Pan Mexican Chicken and Rice Bake,https://chefsavvy.com/mexican-chicken-rice-bake/,chicken,0,
Instant Pot Butter Chicken,https://chefsavvy.com/instant-pot-butter-chicken/,chicken,0,
Chicken Cutlets with Sun-Dried Tomato Cream Sauce,https://www.eatingwell.com/recipe/276341/chicken-cutlets-with-sun-dried-tomato-cream-sauce/,chicken,0,
Chicken Parmesan Pasta Skillet,https://thegirlonbloor.com/one-skillet-chicken-parmesan-orzo/,chicken,0,
Creamy Chicken and Rice Recipe,https://natashaskitchen.com/creamy-chicken-and-rice-recipe/,chicken,0,
30-Minute Italian Chicken Skillet,https://thegirlonbloor.com/30-minute-one-pan-italian-chicken-skillet/,chicken,0,
Pat's Beer Can Grilled Chicken,https://www.foodnetwork.com/recipes/patrick-and-gina-neely/pats-beer-can-grilled-chicken-recipe-1945080,chicken,0,
Peruvian-Style Roast Chicken with Green Sauce,https://www.onceuponachef.com/recipes/peruvian-style-roast-chicken-with-green-sauce.html,chicken,0,
Sheet Pan Chicken Pitas with Tzatziki,https://pinchofyum.com/sheet-pan-chicken-pitas,chicken,0,
Meal Prep Cilantro Lime Chicken with Cauliflower Rice,https://fitfoodiefinds.com/video-meal-prep-cilantro-lime-chicken-cauliflower-rice/,chicken,0,
Chicken Piccata,https://cooking.nytimes.com/recipes/1019883-chicken-piccata,chicken,0,
Sheet Pan Garlic Ginger Chicken & Broccoli,https://pinchofyum.com/garlic-ginger-chicken,chicken,0,
Incredible Caramelized Onion Spinach Chicken Pasta Bake,https://www.ambitiouskitchen.com/spinach-chicken-pasta-bake/,chicken,0,
One Pan Thai-Inspired Coconut Yellow Curry Chicken & Rice,https://www.ambitiouskitchen.com/one-pan-thai-coconut-yellow-curry-chicken-and-rice-video/,chicken,0,
Sesame Chicken Bowls,https://damndelicious.net/2020/04/24/sesame-chicken-bowls/,chicken,0,
Creamy Cajun Chicken Pasta with Smoked Sausage,https://whatsinthepan.com/creamy-cajun-chicken-and-sausage-pasta/,chicken,0,
Sun Dried Tomato Chicken and Gnocchi,https://damndelicious.net/2021/03/26/sun-dried-tomato-chicken-and-gnocchi/,chicken,0,
